city,state,condo_coop
Hackensack, NJ,101.4%
Hackett, AR,
Hackettstown, NJ,100.0%
Haddon Heights, NJ,110.0%
Haddonfield, NJ,99.4%
Haena, HI,98.0%
Hagerstown, MD,99.0%
Haiku-Pauwela, HI,
Hailey, ID,
Haines City, FL,92.7%
Hainesville, IL,99.3%
Halawa, HI,98.2%
Haledon, NJ,100.0%
Hales Corners, WI,
Halesite, NY,
Half Moon Bay, CA,98.6%
Half Moon, NC,
Halfmoon, NY,
Halifax, MA,
Hallam, PA,100.0%
Hallandale Beach, FL,94.6%
Hallowell, ME,100.7%
Halls, TN,98.1%
Hamburg, NY,
Hamilton, IN,
Hamilton, MA,99.7%
Hamilton, OH,93.5%
Hamlin, WV,
Hammond, LA,
Hammonton, NJ,100.0%
Hampden, ME,
Hampshire, IL,
Hampstead, MD,100.3%
Hampton Bays, NY,91.6%
Hampton Beach, NH,95.3%
Hampton, GA,96.6%
Hampton, IL,
Hampton, NH,98.7%
Hampton, VA,98.9%
Hana, HI,
Hanahan, SC,100.0%
Hanceville, AL,
Hancock, MA,
Hancock, MI,
Hanford, CA,100.1%
Hannibal, MO,
Hanover Park, IL,97.4%
Hanover, MA,
Hanover, NH,
Hanover, OH,
Hanover, PA,
Hapeville, GA,
Happy Valley, OR,
Harahan, LA,
Harbor Hills, OH,
Harbor Island, SC,98.5%
Harbour Heights, FL,
Harlingen, TX,
Harper Woods, MI,103.6%
Harrietstown, NY,
Harriman, NY,108.0%
Harriman, TN,
Harrington Park, NJ,
Harrisburg, NC,
Harrisburg, PA,96.4%
Harrison, AR,
Harrison, NJ,
Harrison, NY,101.3%
Harrison, OH,96.7%
Harrisonburg, VA,100.0%
Harrisville, RI,100.0%
Harrisville, UT,
Hartford, CT,104.2%
Hartford, SD,
Hartford, WI,99.2%
Hartland, WI,100.0%
Hartsdale, NY,104.4%
Hartville, OH,100.3%
Harvard, IL,95.1%
Harvard, MA,
Harvey Cedars, NJ,
Harvey, IL,
Harvey, LA,92.2%
Harwich Port, MA,98.4%
Harwich, MA,98.4%
Harwick, PA,
Harwood Heights, IL,99.2%
Haslett, MI,102.3%
Hastings-on-Hudson, NY,
Hastings, MN,
Hastings, NY,97.0%
Hatboro, PA,
Hatfield, MA,
Hatteras, NC,96.8%
Hauppauge, NY,97.7%
Hauula, HI,87.0%
Haverford College, PA,
Haverhill, MA,107.3%
Haverstraw, NY,107.1%
Havre de Grace, MD,100.0%
Hawaii,,97.9%
Hawaiian Gardens, CA,
Hawi, HI,
Haworth, NJ,
Hawthorne, CA,99.1%
Hawthorne, NJ,
Hayden, CO,
Hayden, ID,
Hayesville, OR,
Haymarket, VA,
Hays, NC,
Hayward, CA,100.4%
Hazardville, CT,
Hazel Crest, IL,85.9%
Hazel Dell, WA,100.0%
Hazel Park, MI,
Hazelwood, MO,102.7%
Healdsburg, CA,96.9%
Heath, OH,111.2%
Heath, TX,
Heathcote, NJ,
Heathrow, FL,95.2%
Heber-Overgaard, AZ,
Heber, UT,99.5%
Hebgen Lake Estates, MT,
Hebron, OH,
Hedwig Village, TX,95.4%
Heeia, HI,
Helena Valley Northwest, MT,
Helena Valley Southeast, MT,
Helena, MT,
Helendale, CA,
Hellertown, PA,
Helmetta, NJ,
Hemet, CA,100.0%
Hempstead, NY,100.0%
Henderson Point, MS,98.6%
Henderson, GA,
Henderson, KY,
Henderson, NV,98.4%
Hendersonville, NC,96.9%
Hendersonville, TN,98.8%
Hendron, KY,
Henniker, NH,
Henrietta, NY,124.2%
Hercules, CA,97.4%
Heritage Bay, FL,97.8%
Heritage Hills, CO,99.5%
Heritage Hills, NY,98.3%
Heritage Village, CT,97.9%
Hermiston, OR,
Hermitage, PA,98.4%
Hermosa Beach, CA,99.1%
Herndon, VA,99.5%
Herriman, UT,100.3%
Hershey, PA,
Hewitt, TX,
Hewlett, NY,98.9%
Hialeah Gardens, FL,94.1%
Hialeah, FL,97.4%
Hiawatha, IA,97.8%
Hickory Creek, TX,
Hickory Hills, IL,100.5%
Hickory, NC,94.9%
Hicksville, OH,
Hidden Meadows, CA,
Hidden Springs, ID,
Hideout, UT,99.0%
Higganum, CT,
High Bridge, WA,
High Point, NC,97.5%
High Ridge, MO,
Highgrove, CA,
Highland Beach, FL,91.4%
Highland Falls, NY,
Highland Heights, KY,96.7%
Highland Heights, OH,99.0%
Highland Lake, NJ,
Highland Lakes, NJ,
Highland Park, IL,100.7%
Highland Park, MI,
Highland Park, NJ,
Highland Park, TX,97.3%
Highland Springs, VA,
Highland Village, TX,
Highland-on-the-Lake, NY,
Highland, CA,
Highland, IL,101.1%
Highland, IN,97.6%
Highland, NY,
Highlands Ranch, CO,98.7%
Highlands, NJ,103.4%
Highlands, NY,100.0%
Hightstown, NJ,88.2%
Highwood, IL,
Hillcrest Heights, MD,100.0%
Hillcrest, NY,99.7%
Hilliard, OH,99.2%
Hillsboro Beach, FL,91.2%
Hillsboro, OR,99.9%
Hillsborough, NC,
Hillsborough, NH,
Hillsborough, NJ,
Hillsdale, MI,
Hillsdale, NC,
Hillsdale, NJ,
Hillside, IL,
Hillview, KY,
Hilo, HI,
Hilton Head Island, SC,96.8%
Hilton, NY,113.7%
Hinesburg, VT,113.9%
Hinesville, GA,100.0%
Hingham, MA,
Hingham, WI,
Hinsdale, IL,98.2%
Ho-Ho-Kus, NJ,
Hobart, IN,
Hobe Sound, FL,97.7%
Hoboken, NJ,101.6%
Hockessin, DE,95.5%
Hoffman Estates, IL,99.3%
Hokendauqua, PA,
Holbrook, MA,105.9%
Holbrook, NY,98.6%
Holcombe, WI,
Holden Beach, NC,
Holden, MA,
Holiday Valley, OH,
Holiday, FL,86.4%
Holladay, UT,100.0%
Holland, MI,97.9%
Hollins, VA,102.0%
Hollister, CA,97.3%
Hollister, MO,
Holliston, MA,
Holly Hill, FL,96.8%
Holly Ridge, NC,
Holly Springs, NC,
Holly, MI,
Hollymead, VA,
Hollywood, FL,95.3%
Holmen, WI,
Holmes Beach, FL,91.7%
Holt, MI,99.7%
Holtsville, NY,102.1%
Holyoke, MA,
Home Gardens, CA,100.0%
Homeacre-Lyndora, PA,
Homer Glen, IL,100.0%
Homestead, FL,98.1%
Hometown, IL,
Homewood, AL,95.8%
Homewood, IL,98.3%
Homosassa, FL,
Honeygo, MD,
Honolulu, HI,97.6%
Hood River, OR,
Hooksett, NH,105.7%
Hoover, AL,94.5%
Hopatcong, NJ,
Hope Valley, RI,100.8%
Hopedale, MA,
Hopewell, VA,
Hopkins, MN,97.6%
Hopkinsville, KY,97.9%
Hopkinton, MA,
Hopkinton, RI,100.8%
Horizon West, FL,98.6%
Horn Lake, MS,
Hornsby Bend, TX,
Horsham, PA,99.3%
Hortonville, WI,
Hot Springs Village, AR,97.2%
Hot Springs, AR,96.5%
Hounsfield, NY,
Houston, TX,95.6%
Howard, WI,
Howards Grove, WI,100.0%
Howell, MI,100.0%
Howey-in-the-Hills, FL,
Howland Center, OH,
Hubbard, OH,
Huber Heights, OH,96.0%
Hudson Bend, TX,
Hudson, FL,92.5%
Hudson, MA,104.1%
Hudson, NH,101.9%
Hudson, OH,103.9%
Hudson, WI,
Hudsonville, MI,99.4%
Hull, MA,97.8%
Humble, TX,
Hunter, TN,95.3%
Hunters Creek, FL,96.2%
Huntertown, IN,94.4%
Huntington Beach, CA,100.7%
Huntington Park, CA,100.0%
Huntington Station, NY,103.3%
Huntington, IN,100.3%
Huntington, NY,103.2%
Huntington, VA,95.5%
Huntington, WV,
Huntley, IL,98.7%
Huntsville, AL,97.3%
Huntsville, TX,
Huron, OH,98.8%
Hurricane, UT,96.6%
Hurst, TX,100.5%
Hurstbourne, KY,100.3%
Hustisford, WI,
Hutchinson Island South, FL,95.3%
Hutchinson, MN,
Hutto, TX,
Huxley, IA,
Hyattsville, MD,103.1%
Hybla Valley, VA,102.6%
Hypoluxo, FL,95.7%
Idaho,,97.2%
Idaho Springs, CO,
Idylwood, VA,95.7%
Ilchester, MD,101.2%
Illinois,,99.1%
Imlay City, MI,97.9%
Immokalee, FL,
Imperial Beach, CA,100.0%
Imperial, CA,
Imperial, MO,
Imperial, PA,
Incline Village, NV,96.0%
Independence, KY,92.8%
Independence, MO,
India Hook, SC,
Indialantic, FL,98.5%
Indian Beach, NC,95.4%
Indian Field, CT,
Indian Harbour Beach, FL,95.1%
Indian Head Park, IL,98.3%
Indian Head, MD,
Indian Hills, KY,
Indian Hills, NV,100.0%
Indian River Estates, FL,92.5%
Indian River Shores, FL,94.4%
Indian Rocks Beach, FL,
Indian Shores, FL,95.0%
Indian Wells, CA,90.6%
Indiana,,98.2%
Indiana, PA,99.4%
Indianapolis, IN,97.9%
Indianola, IA,99.1%
Indio, CA,97.5%
Inglewood-Finn Hill, WA,98.7%
Inglewood, CA,101.6%
Inkerman, PA,
Inkster, MI,
Inniswold, LA,94.8%
Innsbrook, MO,
Innsbrook, VA,96.7%
Inver Grove Heights, MN,103.1%
Inverness Highlands South, FL,
Inverness, CO,97.7%
Inverness, FL,99.5%
Inverness, IL,
Iona, FL,94.5%
Ionia, MI,
Iowa,,98.7%
Iowa City, IA,99.3%
Ipswich, MA,
Iron Ridge, WI,
Irondequoit, NY,
Irvine, CA,100.1%
Irving, TX,95.3%
Irvington, NY,105.6%
Isanti, MN,
Iselin, NJ,
Islamorada, FL,93.5%
Island Heights, NJ,
Island Lake, IL,
Island Walk, FL,
Islandia, NY,100.0%
Isle of Palms, SC,95.3%
Islip, NY,
Issaquah, WA,97.0%
Itasca, IL,
Ithaca, NY,99.2%
Ives Estates, FL,97.3%
Ivins, UT,
Ixonia, WI,
Jackson, GA,
Jackson, MI,94.8%
Jackson, MO,
Jackson, MS,122.6%
Jackson, TN,
Jackson, WI,100.3%
Jackson, WY,
Jacksonville Beach, FL,95.6%
Jacksonville, AR,98.8%
Jacksonville, FL,96.3%
Jacksonville, IL,
Jacksonville, NC,
Jacksonville, OR,
Jacona, NM,
Jaffrey, NH,
James Island, SC,
Jamesburg, NJ,
Jamestown, NC,
Jamestown, ND,
Jamestown, OH,
Jamestown, RI,
Jan Phyl Village, FL,
Janesville, IA,
Janesville, WI,101.8%
Jasmine Estates, FL,
Jasper, GA,
Jasper, IN,91.9%
Jefferson City, MO,
Jefferson City, TN,
Jefferson Hills, PA,96.4%
Jefferson Valley-Yorktown, NY,101.5%
Jefferson, LA,
Jefferson, MD,100.0%
Jefferson, OH,
Jefferson, VA,101.2%
Jefferson, WI,
Jeffersontown, KY,100.4%
Jeffersonville, IN,100.5%
Jekyll Island, GA,
Jenison, MI,98.2%
Jenkintown, PA,102.6%
Jenks, OK,
Jennings Lodge, OR,100.0%
Jensen Beach, FL,95.6%
Jericho, NY,101.9%
Jericho, VT,
Jersey City, NJ,100.3%
Jerseyville, IL,
Jewett City, CT,96.4%
Jim Thorpe, PA,
Johns Creek, GA,95.8%
Johnson City, NY,82.4%
Johnson City, TN,96.9%
Johnson Creek, WI,
Johnson, AR,
Johnston, IA,99.2%
Johnston, RI,
Johnstown, CO,
Johnstown, OH,
Joliet, IL,99.3%
Jollyville, TX,
Jonesboro, AR,100.0%
Jonesboro, GA,
Jonesborough, TN,97.0%
Jonestown, TX,95.5%
Joplin, MO,
Joppatowne, MD,
Juneau, AK,
Juno Beach, FL,90.4%
Juno Ridge, FL,
Jupiter, FL,97.0%
Jurupa Valley, CA,100.0%
Justice, IL,
K. I. Sawyer, MI,
Kaaawa, HI,
Kaanapali, HI,97.0%
Kahaluu-Keauhou, HI,100.0%
Kahuku, HI,
Kahului, HI,99.0%
Kailua-Kona, HI,96.6%
Kailua, HI,98.2%
Kaiminani, HI,
Kalaeloa, HI,100.0%
Kalaheo, HI,
Kalamazoo, MI,96.6%
Kalaoa, HI,
Kalispell, MT,
Kalona, IA,100.1%
Kamas, UT,
Kaneohe, HI,100.3%
Kankakee, IL,89.8%
Kannapolis, NC,98.7%
Kansas,,96.2%
Kansas City, KS,
Kansas City, MO,
Kapaa, HI,100.0%
Kapalua, HI,94.1%
Kapolei, HI,99.8%
Karns, TN,100.0%
Kaukauna, WI,100.0%
Kaunakakai, HI,
Kawela Bay, HI,97.7%
Kaysville, UT,96.9%
Keansburg, NJ,
Kearney, NE,
Kearns, UT,
Kearny, NJ,102.0%
Keasbey, NJ,
Keego Harbor, MI,
Keene, NH,100.7%
Keizer, OR,98.2%
Keller, TX,101.4%
Kelleys Island, OH,
Kemah, TX,
Kemp Mill, MD,102.6%
Ken Caryl, CO,98.9%
Kendale Lakes, FL,97.2%
Kendall West, FL,98.5%
Kendall, FL,96.5%
Kendallville, IN,98.1%
Kenmore, WA,97.4%
Kennebunk, ME,
Kennebunkport, ME,
Kenner, LA,94.4%
Kennesaw, GA,100.1%
Kenneth City, FL,96.6%
Kennett Square, PA,100.0%
Kennewick, WA,97.6%
Kenosha, WI,98.8%
Kensington Park, FL,
Kensington, CT,
Kensington, MD,
Kensington, NY,
Kent Narrows, MD,
Kent, NY,99.4%
Kent, OH,97.6%
Kent, WA,100.2%
Kentfield, CA,
Kentucky,,98.1%
Kentwood, MI,98.4%
Kenwood, OH,95.2%
Keokuk, IA,
Keowee Key, SC,100.0%
Kernersville, NC,96.5%
Kerrville, TX,
Ketchikan, AK,
Ketchum, ID,
Kettering, MD,103.1%
Kettering, OH,83.0%
Keuka Park, NY,
Kewanee, IL,
Kewaskum, WI,95.3%
Key Biscayne, FL,95.7%
Key Colony Beach, FL,106.3%
Key Largo, FL,96.2%
Key West, FL,97.1%
Keyport, NJ,101.9%
Keystone, CO,97.6%
Kiawah Island, SC,98.0%
Kiel, WI,100.0%
Kihei, HI,94.3%
Kilgore, TX,
Kill Devil Hills, NC,98.0%
Killeen, TX,
Killian, LA,
Killington Village, VT,99.7%
Kimberly, WI,102.2%
Kincheloe, MI,100.0%
Kincora, VA,98.1%
King Arthur Park, MT,
King City, CA,95.5%
King City, OR,98.3%
King of Prussia, PA,99.6%
Kingman, AZ,
Kings Beach, CA,97.2%
Kings Park, NY,101.8%
Kingsbury, NV,98.9%
Kingsgate, WA,97.8%
Kingsport, TN,96.3%
Kingston Estates, NJ,
Kingston, MA,
Kingston, NJ,
Kingston, NY,
Kingston, TN,100.0%
Kingston, WA,96.8%
Kingstowne, VA,100.5%
Kinnelon, NJ,
Kiowa, CO,
Kirkland, NY,
Kirkland, WA,98.0%
Kirkwood, MO,100.0%
Kirtland, OH,
Kiryas Joel, NY,
Kissimmee, FL,94.1%
Kitsap Lake, WA,
Kittery Point, ME,
Kittery, ME,96.5%
Kittredge, CO,
Kitty Hawk, NC,96.6%
Klahanie, WA,98.9%
Klamath Falls, OR,100.0%
Knightstown, IN,
Knik-Fairview, AK,
Knoxville, IA,
Knoxville, TN,97.2%
Ko Olina, HI,96.7%
Kohler, WI,99.3%
Kokomo, IN,98.7%
Koloa, HI,95.9%
Konterra, MD,99.8%
Kronenwetter, WI,
Kulpsville, PA,100.0%
Kure Beach, NC,
Kyle, TX,
La Ca?ada Flintridge, CA,98.4%
La Conner, WA,100.4%
La Crescenta-Montrose, CA,
La Crosse, WI,101.1%
La Grange Park, IL,103.3%
La Grange, IL,99.4%
La Grange, KY,104.2%
La Grange, NY,
La Habra, CA,99.8%
La Jolla Amago, CA,
La Mesa, CA,97.3%
La Mirada, CA,98.6%
La Palma, CA,
La Plata, MD,100.6%
La Porte City, IA,100.0%
La Porte, IN,103.6%
La Porte, TX,98.3%
La Presa, CA,102.2%
La Puente, CA,
La Quinta, CA,97.0%
La Riviera, CA,99.2%
La Salle, CO,
La Vergne, TN,100.0%
La Verne, CA,99.1%
La Vista, NE,
Lac la Belle, WI,
Lacey, WA,100.0%
Laclede, ID,
Lacon, IL,
Laconia, NH,97.3%
LaCrosse, WA,
Ladera Heights, CA,
Ladera Ranch, CA,101.4%
Ladson, SC,
Lady Lake, FL,
Lafayette, CA,99.7%
Lafayette, CO,100.0%
Lafayette, IN,100.0%
Lafayette, TN,
Lago Vista, TX,
LaGrange, OH,
Laguna Beach, CA,
Laguna Beach, FL,93.2%
Laguna Hills, CA,101.2%
Laguna Niguel, CA,98.9%
Laguna Vista, TX,
Laguna West-Lakeside, CA,
Laguna Woods, CA,100.7%
Laguna, CA,104.0%
Lahaina, HI,100.1%
Lake Arbor, MD,101.0%
Lake Arrowhead, CA,
Lake Barcroft, VA,103.3%
Lake Barrington, IL,101.8%
Lake Bluff, IL,
Lake Butler, FL,97.3%
Lake Carmel, NY,100.0%
Lake Charles, LA,97.4%
Lake City, MN,
Lake Como, NJ,98.3%
Lake Delton, WI,102.7%
Lake Elsinore, CA,100.1%
Lake Erie Beach, NY,
Lake Fenton, MI,
Lake Forest Park, WA,96.4%
Lake Forest, CA,101.0%
Lake Forest, IL,99.4%
Lake Geneva, WI,99.1%
Lake George, NY,
Lake Grove, NY,97.8%
Lake Hallie, WI,95.1%
Lake Hamilton, AR,96.8%
Lake Havasu City, AZ,95.9%
Lake Hiawatha, NJ,
Lake in the Hills, IL,99.2%
Lake Isabella, MI,
Lake Jackson, TX,
Lake Junaluska, NC,97.8%
Lake Katrine, NY,
Lake Kerr, FL,
Lake Lorraine, FL,96.9%
Lake Lure, NC,98.4%
Lake Magdalene, FL,97.0%
Lake Mary, FL,
Lake Michigan Beach, MI,
Lake Mills, WI,
Lake Milton, OH,
Lake Mohegan, NY,90.5%
Lake Montezuma, AZ,
Lake Nacimiento, CA,
Lake Norman of Iredell, NC,98.5%
Lake Odessa, MI,
Lake Orion, MI,100.0%
Lake Oswego, OR,97.6%
Lake Panorama, IA,
Lake Park, FL,91.9%
Lake Park, GA,
Lake Park, NC,
Lake Placid, FL,
Lake Pocotopaug, CT,100.2%
Lake Ridge, VA,
Lake Ripley, WI,
Lake Ronkonkoma, NY,108.2%
Lake San Marcos, CA,101.6%
Lake Sherwood, CA,95.3%
Lake Shore, MD,97.4%
Lake Shore, WA,
Lake St. Louis, MO,98.9%
Lake Stevens, WA,99.4%
Lake Stickney, WA,100.5%
Lake Tansi, TN,
Lake Wales, FL,99.7%
Lake Wisconsin, WI,
Lake Wissota, WI,
Lake Worth Beach, FL,97.8%
Lake Worth, FL,97.8%
Lake Wylie, SC,
Lake Zurich, IL,104.3%
Lakeland Highlands, FL,
Lakeland North, WA,
Lakeland, FL,97.3%
Lakeland, TN,
Lakemoor, IL,
Lakemore, OH,100.0%
Lakeport, CA,92.5%
Lakeport, MI,
Lakes of the Four Seasons, IN,
Lakes, AK,
Lakeshire, MO,
Lakeside Park, KY,
Lakeside, CA,102.2%
Lakeside, FL,96.1%
Lakeside, IA,
Lakeside, MT,
Lakeside, OH,
Lakeside, VA,103.3%
Lakeville, MA,95.2%
Lakeway, TX,95.5%
Lakewood Park, FL,98.2%
Lakewood Ranch, FL,94.7%
Lakewood, CA,106.9%
Lakewood, CO,98.7%
Lakewood, IL,
Lakewood, NJ,101.1%
Lakewood, NY,
Lakewood, OH,92.7%
Lakewood, TN,
Lakewood, WA,100.0%
Lamar, TX,
Lambertville, MI,94.6%
Lambertville, NJ,
Lanai City, HI,
Lancaster, CA,98.1%
Lancaster, MA,95.2%
Lancaster, NY,
Lancaster, OH,109.1%
Lancaster, PA,97.5%
Land O'Lakes, FL,96.3%
Landen, OH,98.8%
Landover, MD,
Lanesboro, MN,
Langhorne Manor, PA,
Langley Park, MD,
Langley, WA,100.0%
Lanham, MD,
Lannon, WI,
Lansdale, PA,98.5%
Lansdowne, PA,
Lansdowne, VA,99.1%
Lansing, IL,98.3%
Lansing, MI,100.3%
Lansing, NY,
Lantana, FL,91.9%
Lapeer, MI,93.4%
Laplace, LA,100.0%
Laporte, CO,
Laramie, WY,
Larch Way, WA,100.0%
Larchmont, NY,107.0%
Largo, FL,95.0%
Largo, MD,99.7%
Larkfield-Wikiup, CA,
Larkspur, CA,101.0%
Las Cruces, NM,
Las Flores, CA,100.1%
Las Vegas, NM,
Las Vegas, NV,98.1%
Lathrop, CA,
Lathrup Village, MI,
Latrobe, PA,
Lauderdale Lakes, FL,97.2%
Lauderdale Lakes, WI,100.0%
Lauderdale-by-the-Sea, FL,94.7%
Lauderdale, MN,
Lauderhill, FL,93.2%
Laughlin, NV,97.8%
Laurel Hill, VA,100.8%
Laurel Park, NC,97.4%
Laurel, FL,
Laurel, MD,99.7%
Laurel, MT,
Laurel, VA,
Laurence Harbor, NJ,100.0%
Laurens, SC,
Laurinburg, NC,
Lavallette, NJ,101.1%
Lawndale, CA,
Lawrence, IN,99.6%
Lawrence, KS,94.9%
Lawrence, MA,100.2%
Lawrence, NY,95.9%
Lawrence, PA,
Lawrenceburg, IN,100.2%
Lawrenceville, GA,
Lawrenceville, NJ,
Layhill, MD,
Layton, UT,
Le Claire, IA,
Le Roy, MN,
Lea Hill, WA,
Lead, SD,
League City, TX,
Lealman, FL,92.2%
Leander, TX,
Leavenworth, WA,98.0%
Leawood, KS,
Lebanon, IN,100.0%
Lebanon, MO,
Lebanon, NH,100.3%
Lebanon, OH,97.9%
Lebanon, OR,91.8%
Lebanon, TN,99.6%
Lee's Summit, MO,
Leesburg, FL,75.1%
Leesburg, VA,100.0%
Leesylvania, VA,
Leetsdale, PA,
Lehi, UT,99.6%
Lehigh Acres, FL,98.0%
Leicester, MA,100.1%
Leisure City, FL,
Leisure Village East, NJ,
Leisure Village West, NJ,100.0%
Leisure Village, NJ,
Leisure World, MD,101.2%
Leland Grove, IL,98.0%
Leland, NC,
Lely Resort, FL,94.7%
Lely, FL,90.3%
Lemay, MO,86.6%
Lemon Grove, CA,102.3%
Lemont, IL,
Lena, IL,
Lenexa, KS,
Lenoir City, TN,
Lenoir, NC,
Lenox, MA,99.0%
Leo-Cedarville, IN,99.7%
Leominster, MA,102.4%
Leonardo, NJ,
Leonardtown, MD,
Leonia, NJ,100.0%
Levittown, NY,93.6%
Levittown, PA,
Lewisboro, NY,
Lewisburg, PA,
Lewisburg, TN,104.7%
Lewiston, ID,98.7%
Lewiston, ME,100.1%
Lewisville, NC,97.9%
Lewisville, TX,
Lexington Park, MD,
Lexington-Fayette, KY,98.5%
Lexington, IL,
Lexington, KY,98.5%
Lexington, MA,101.7%
Lexington, NC,
Lexington, OH,
Liberal, KS,
Liberty Lake, WA,
Liberty Township, OH,
Liberty Triangle, FL,
Libertytown, MD,
Libertyville, IL,99.1%
Lido Beach, NY,99.1%
Lighthouse Point, FL,97.4%
Ligonier, PA,95.8%
Lihue, HI,100.0%
Lilburn, GA,
Lilydale, MN,
Lincoln Beach, OR,93.6%
Lincoln City, OR,
Lincoln Park, NJ,
Lincoln Park, PA,
Lincoln Village, CA,
Lincoln Village, OH,98.5%
Lincoln, AL,97.1%
Lincoln, CA,100.0%
Lincoln, IL,
Lincoln, MA,
Lincoln, ND,
Lincoln, NE,94.8%
Lincoln, NH,94.9%
Lincoln, RI,100.1%
Lincolnia, VA,101.3%
Lincolnshire, IL,94.5%
Lincolnton, NC,
Lincolnwood, IL,98.7%
Lincroft, NJ,100.0%
Linden, MI,100.6%
Linden, NJ,
Lindenhurst, IL,
Lindenhurst, NY,
Lindstrom, MN,
Linganore, MD,
Linwood, NJ,95.8%
Lisbon, IA,100.0%
Lisle, IL,101.0%
Litchfield Beach, SC,89.9%
Litchfield Park, AZ,
Litchfield, CT,101.0%
Litchfield, MI,
Lithopolis, OH,
Lititz, PA,
Little Canada, MN,101.5%
Little Chute, WI,
Little Falls, ME,
Little Ferry, NJ,100.4%
Little River, SC,95.9%
Little Rock, AR,95.3%
Little Silver, NJ,98.3%
Littleton Common, MA,106.4%
Littleton, CO,98.7%
Littleton, MA,106.4%
Live Oak, CA,
Livermore, CA,100.5%
Liverpool, NY,
Livonia, MI,99.6%
Livonia, NY,
Lloyd, NY,
Lochearn, MD,111.4%
Lochmoor Waterway Estates, FL,93.7%
Lockhart, FL,
Lockhart, TX,
Lockport, IL,106.7%
Lockport, LA,
Lockport, NY,
Lodi, CA,99.5%
Lodi, NJ,76.3%
Lodi, WI,106.1%
Logan, OH,98.3%
Logan, UT,102.3%
Logansport, IN,
Lolo, MT,
Loma Linda, CA,101.5%
Lombard, IL,100.1%
Lomira, WI,
Lomita, CA,100.0%
Lompoc, CA,101.0%
London, OH,94.7%
Londonderry, NH,101.2%
Londontowne, MD,98.7%
Lone Tree, CO,99.5%
Long Beach, CA,100.0%
Long Beach, MS,
Long Beach, NY,98.7%
Long Branch, NJ,91.0%
Long Hill, CT,
Long View, NC,94.3%
Longboat Key, FL,97.3%
Longmeadow, MA,106.5%
Longmont, CO,99.6%
Longport, NJ,98.8%
Longview, TX,
Longview, WA,99.0%
Longwood, FL,95.3%
Lonoke, AR,
Loop, PA,
Lorain, OH,100.0%
Lordship, CT,98.1%
Lordstown, OH,
Lorton, VA,97.8%
Los Alamitos, CA,
Los Alamos, NM,100.8%
Los Altos, CA,101.6%
Los Angeles, CA,99.5%
Los Banos, CA,
Los Gatos, CA,100.0%
Los Osos, CA,
Lost Creek, TX,
Loudon, NH,
Loudon, TN,
Loudoun Valley Estates, VA,
Loughman, FL,97.4%
Louisiana,,94.8%
Louisville, CO,
Louisville, KY,96.1%
Louisville, OH,
Loveland, CO,97.6%
Loveland, OH,100.0%
Loves Park, IL,102.4%
Lowell, IN,100.0%
Lowell, MA,103.2%
Lowell, MI,
Lower Allen, PA,
Lower Burrell, PA,98.0%
Lower Grand Lagoon, FL,95.4%
Lowes Island, VA,103.1%
Loxley, AL,
Loyalhanna, PA,
Lubbock, TX,
Lucas Valley-Marinwood, CA,
Ludington, MI,100.0%
Ludlow, KY,102.3%
Ludlow, MA,
Ludlow, VT,
Lufkin, TX,
Lumberton, NC,98.1%
Lummi Island, WA,
Luna Pier, MI,
Lunenburg, MA,
Lusby, MD,
Lutz, FL,97.8%
Luxemburg, WI,
Lynbrook, NY,101.7%
Lynchburg, VA,93.1%
Lyncourt, NY,
Lynden, WA,99.4%
Lyndhurst, OH,104.4%
Lyndon, KY,100.3%
Lynn Haven, FL,
Lynn, MA,101.5%
Lynnfield, MA,
Lynnwood, WA,96.0%
Lynwood, CA,
Lynwood, IL,
Lyons, CO,
Lyons, IL,
Lysander, NY,
Maalaea, HI,100.0%
Mableton, GA,
Macedonia, OH,
Machesney Park, IL,
Mack, OH,
Macon, GA,93.0%
Madeira Beach, FL,95.7%
Madera, CA,
Madison Center, CT,94.4%
Madison Heights, MI,
Madison, AL,94.2%
Madison, GA,
Madison, IN,96.1%
Madison, NJ,118.2%
Madison, OH,96.5%
Madison, WI,99.9%
Madisonville, KY,95.0%
Madisonville, LA,
Madrid, IA,
Maggie Valley, NC,98.9%
Magna, UT,
Mahinahina, HI,
Mahomet, IL,
Mahopac, NY,110.3%
Maili, HI,
Maine,,99.6%
Maineville, OH,
Maitland, FL,99.2%
Makaha, HI,97.1%
Makakilo, HI,98.9%
Makena, HI,100.0%
Malden, MA,100.9%
Malibu, CA,90.9%
Malta, NY,
Malvern, PA,100.0%
Mamaroneck, NY,99.8%
Manahawkin, NJ,103.4%
Manalapan, FL,
Manasota Key, FL,96.3%
Manasquan, NJ,97.0%
Manassas Park, VA,
Manassas, VA,99.6%
Manchester Center, VT,100.0%
Manchester, CT,107.6%
Manchester, MA,
Manchester, MI,
Manchester, MO,101.3%
Manchester, NH,101.1%
Manchester, TN,
Manchester, VA,
Manchester, VT,97.4%
Mandan, ND,98.5%
Mandeville, LA,94.2%
Manele, HI,
Mangonia Park, FL,
Manhasset, NY,
Manhattan Beach, CA,95.8%
Manhattan, IL,
Manhattan, MT,
Manhattan, NY,98.9%
Manitou Beach-Devils Lake, MI,
Manitou Springs, CO,
Manitowoc, WI,103.0%
Manlius, NY,
Manorhaven, NY,
Manorville, NY,101.1%
Mansfield Center, MA,102.1%
Mansfield, MA,102.1%
Mansfield, OH,97.1%
Mansfield, TX,
