city,state,townhouse
Hayward, CA,101.9%
Hazel Crest, IL,98.2%
Hazel Dell, WA,100.0%
Hazel Park, MI,100.0%
Hazleton, PA,
Healdsburg, CA,
Heartland, TX,99.2%
Heathrow, FL,
Heber-Overgaard, AZ,
Heber, UT,99.4%
Hebron, IL,103.6%
Hebron, PA,
Hedgesville, WV,99.3%
Helena, AL,102.3%
Helena, MT,
Hellertown, PA,100.0%
Hemet, CA,
Hempstead, NY,
Henderson, GA,
Henderson, NC,
Henderson, NV,98.4%
Henderson, TN,94.6%
Hendersonville, NC,99.7%
Hendersonville, TN,99.4%
Hendron, KY,90.1%
Henrietta, NY,113.3%
Henry, IL,
Hephzibah, GA,101.2%
Herald Harbor, MD,
Hercules, CA,101.1%
Heritage Hills, CO,97.2%
Hermiston, OR,99.8%
Hermosa Beach, CA,102.8%
Hernando, MS,
Herndon, VA,100.7%
Heron Bay, GA,
Herriman, UT,100.0%
Herrin, IL,
Herscher, IL,
Hershey, PA,96.1%
Hewitt, NJ,
Hewitt, TX,
Heyburn, ID,
Heyworth, IL,99.3%
Hialeah Gardens, FL,
Hialeah, FL,99.1%
Hiawatha, IA,
Hickman, NE,
Hickory Creek, TX,
Hickory Hills, IL,
Hickory, NC,97.1%
Hideout, UT,100.7%
High Point, NC,98.4%
Highgrove, CA,
Highland Beach, FL,95.8%
Highland Falls, NY,
Highland Park, IL,
Highland Park, TX,
Highland Springs, VA,99.1%
Highland-on-the-Lake, NY,
Highland, IN,100.0%
Highland, NY,
Highland, UT,100.5%
Highlands Ranch, CO,96.8%
Highlands, NY,
Highspire, PA,
Hightsville, NC,100.0%
Highwood, IL,
Hillcrest Heights, MD,102.5%
Hilldale, PA,100.0%
Hillsboro Beach, FL,
Hillsboro, OR,99.8%
Hillsborough, NC,100.3%
Hillsborough, NH,
Hillsborough, NJ,
Hillsdale, NC,
Hilton Head Island, SC,97.2%
Hilton, NY,98.7%
Hinckley, IL,
Hinesburg, VT,
Hinesville, GA,86.5%
Hingham, MA,106.9%
Hinsdale, IL,98.6%
Hiram, GA,101.5%
Ho-Ho-Kus, NJ,
Hoback, WY,
Hobart, IN,99.6%
Hobbs, NM,
Hobe Sound, FL,97.7%
Hoboken, NJ,104.0%
Hockessin, DE,
Hoffman Estates, IL,100.8%
Hokendauqua, PA,98.9%
Holbrook, MA,
Holbrook, NY,
Holden Beach, NC,
Holden, MA,
Holdingford, MN,
Holiday, FL,
Holladay, UT,97.7%
Holland, MA,
Hollidaysburg, PA,96.1%
Hollins, VA,100.7%
Hollister, CA,
Holliston, MA,
Holly Hill, FL,97.2%
Holly Hills, CO,
Holly Ridge, NC,100.3%
Holly Springs, GA,98.2%
Holly Springs, NC,98.1%
Hollymead, VA,99.9%
Hollywood, FL,96.0%
Hollywood, SC,
Holmen, WI,
Holmes Beach, FL,
Holtsville, NY,
Holyoke, MA,
Home Gardens, CA,
Homeacre-Lyndora, PA,
Homer Glen, IL,98.0%
Homestead, FL,99.5%
Hometown, IL,102.6%
Hometown, PA,
Homewood, AL,
Homewood, IL,
Honeoye Falls, NY,
Honey Brook, PA,103.0%
Honeygo, MD,98.4%
Hood River, OR,
Hooksett, NH,
Hoover, AL,98.8%
Hope Mills, NC,100.0%
Hopedale, MA,99.6%
Hopewell, NJ,
Hopewell, VA,89.7%
Hopkins, MN,101.3%
Hopkinsville, KY,
Hopkinton, MA,103.0%
Hoquiam, WA,
Horizon City, TX,
Horizon West, FL,98.5%
Horn Lake, MS,
Horseheads North, NY,
Horsham, PA,101.0%
Hoschton, GA,96.9%
Hot Springs Village, AR,96.0%
Hot Springs, AR,100.0%
Houma, LA,
Hounsfield, NY,
Houston, PA,
Houston, TX,96.9%
Howard Lake, MN,93.2%
Howard, PA,100.0%
Howard, WI,
Howey-in-the-Hills, FL,99.9%
Hubbardston, MA,
Huber Heights, OH,
Hudson Bend, TX,
Hudson, FL,
Hudson, IA,
Hudson, MA,98.4%
Hudson, NH,
Hudson, NY,123.0%
Hudson, WI,98.5%
Hugo, MN,99.1%
Hull, MA,
Humble, TX,97.2%
Humboldt, SD,
Hummels Wharf, PA,
Hummelstown, PA,103.4%
Humphrey, NE,
Hunters Creek, FL,
Huntersville, NC,100.0%
Huntington Beach, CA,99.5%
Huntington Park, CA,
Huntington Station, NY,
Huntington, NY,
Huntington, VA,98.8%
Huntley, IL,99.1%
Huntsville, AL,98.1%
Huntsville, TX,97.9%
Hurricane, UT,98.0%
Hurricane, WV,
Hurst, TX,97.9%
Hurstbourne, KY,
Hutchinson Island South, FL,
Hutchinson, MN,98.3%
Hutchison, VA,97.1%
Huxley, IA,
Hyattsville, MD,98.2%
Hybla Valley, VA,95.6%
Hyde Park, PA,
Hypoluxo, FL,92.2%
Hyrum, UT,98.5%
Idaho,,99.3%
Idaho Springs, CO,102.5%
Idylwood, VA,100.7%
Ilchester, MD,100.7%
Illinois,,99.7%
Imperial Beach, CA,100.0%
Imperial, PA,
Incline Village, NV,
Independence, KS,106.2%
Independence, KY,
Independence, MO,
Independence, OR,
Independent Hill, VA,101.2%
India Hook, SC,98.5%
Indialantic, FL,
Indian Harbour Beach, FL,97.0%
Indian Head Park, IL,100.0%
Indian Head, MD,102.5%
Indian Hills, NV,
Indian Lake, PA,
Indian River Shores, FL,
Indian Rocks Beach, FL,99.1%
Indian Shores, FL,
Indian Trail, NC,98.9%
Indian Wells, CA,
Indiana,,98.5%
Indianapolis, IN,98.0%
Indio, CA,
Industry, CA,
Inglewood-Finn Hill, WA,99.5%
Inglewood, CA,96.7%
Inkerman, PA,
Inniswold, LA,96.4%
Innsbrook, VA,100.0%
Inver Grove Heights, MN,98.6%
Inverness Highlands South, FL,
Inverness, CO,103.1%
Inverness, FL,
Inverness, IL,96.7%
Inwood, WV,100.4%
Iona, FL,95.6%
Iowa,,99.5%
Iowa City, IA,
Iowa Colony, TX,96.6%
Ipswich, MA,104.9%
Irondale, AL,
Irondale, GA,
Irondequoit, NY,
Irvine, CA,99.8%
Irving, TX,98.1%
Irwin, PA,
Isanti, MN,100.0%
Islamorada, FL,95.5%
Island Lake, IL,101.7%
Island Walk, FL,
Isle of Palms, SC,
Isle, MN,
Issaquah, WA,98.6%
Itasca, IL,92.4%
Ithaca, NY,
Ives Estates, FL,97.2%
Ivins, UT,100.0%
Ivyland, PA,
Jackson, GA,
Jackson, MS,94.7%
Jackson, TN,
Jackson, WY,
Jacksonville Beach, FL,98.6%
Jacksonville, FL,97.5%
Jacksonville, IL,98.3%
Jacksonville, NC,98.5%
Jacksonville, OR,
James City, NC,102.7%
James Island, SC,
Jamesburg, NJ,
Jamestown, NC,99.8%
Jamestown, ND,
Jan Phyl Village, FL,
Janesville, IA,
Janesville, WI,97.1%
Jasper, AL,100.0%
Jasper, GA,93.8%
Jasper, MO,
Jeannette, PA,
Jefferson Hills, PA,103.0%
Jefferson, GA,101.4%
Jefferson, MD,
Jefferson, VA,99.8%
Jefferson, WI,
Jeffersonville, IN,
Jekyll Island, GA,
Jenkintown, PA,
Jennings Lodge, OR,100.0%
Jensen Beach, FL,96.9%
Jericho, NY,
Jericho, VT,
Jersey City, NJ,93.4%
Jessup, MD,101.7%
Jessup, PA,100.0%
Jim Thorpe, PA,105.1%
Johns Creek, GA,97.3%
Johnsburg, IL,
Johnsburg, NY,
Johnson City, TN,93.1%
Johnson, AR,
Johnsonville, SC,
Johnston City, IL,
Johnston, IA,
Johnstown, CO,99.7%
Joliet, IL,100.7%
Jollyville, TX,
Jonesboro, AR,
Jonesboro, GA,
Jonesborough, TN,99.6%
Jonestown, PA,
Joplin, MO,
Joppatowne, MD,100.0%
Jordan, MN,
Junction City, KS,
Junction City, OR,99.5%
Juniata Terrace, PA,
Juno Beach, FL,94.0%
Juno Ridge, FL,
Jupiter, FL,95.4%
Jurupa Valley, CA,
Justice, IL,108.6%
Kaanapali, HI,
Kahaluu-Keauhou, HI,
Kailua-Kona, HI,
Kalama, WA,
Kalispell, MT,
Kamas, UT,
Kankakee, IL,
Kannapolis, NC,98.7%
Kansas,,99.0%
Kansas City, KS,
Kansas City, MO,
Kapalua, HI,
Kapp Heights, PA,
Kasson, MN,100.0%
Katy, TX,97.9%
Kaukauna, WI,
Kaysville, UT,
Keansburg, NJ,
Kearney, MO,
Kearns, UT,100.0%
Kearny, AZ,
Kearny, NJ,
Keene, NH,
Keene, TX,
Keizer, OR,92.6%
Keller, TX,
Kelso, WA,
Kemah, TX,98.0%
Kemp Mill, MD,98.2%
Ken Caryl, CO,99.5%
Kendale Lakes, FL,98.7%
Kendall West, FL,97.6%
Kendall, FL,98.0%
Kenhorst, PA,107.6%
Kenilworth, IL,
Kenmar, PA,
Kenmore, WA,
Kenner, LA,
Kennesaw, GA,99.1%
Kenneth City, FL,
Kennett Square, PA,101.3%
Kennewick, WA,100.4%
Kensington, MD,
Kent Acres, DE,
Kent Narrows, MD,100.0%
Kent, WA,97.6%
Kentucky,,98.5%
Kenwood, OH,96.5%
Kenyon, MN,
Keowee Key, SC,
Kernersville, NC,98.8%
Kerrville, TX,
Ketchum, ID,
Kettering, MD,100.4%
Kettering, OH,
Kewanee, IL,
Key Biscayne, FL,89.2%
Key Colony Beach, FL,
Key Largo, FL,95.9%
Key West, FL,97.4%
Keyport, NJ,
Keyser, WV,
Keystone, CO,98.2%
Keystone, FL,
Kiawah Island, SC,
Kihei, HI,
Kildeer, IL,
Kilgore, TX,
Kill Devil Hills, NC,
Killeen, TX,100.0%
Killington Village, VT,
Kimberton, PA,
Kincora, VA,100.0%
King Arthur Park, MT,
King City, CA,
King City, OR,94.6%
King of Prussia, PA,99.5%
King, NC,
Kingman, AZ,
Kings Beach, CA,98.4%
Kings Grant, NC,
Kings Park West, VA,101.5%
Kings Park, VA,106.2%
Kingsbury, NV,94.7%
Kingsgate, WA,
Kingsland, GA,
Kingsport, TN,99.4%
Kingston Estates, NJ,
Kingston Springs, TN,96.9%
Kingston, MA,
Kingston, NY,92.7%
Kingston, PA,100.6%
Kingston, TN,
Kingston, WA,
Kingstowne, VA,101.3%
Kingsville, MD,
Kingsville, TX,
Kinston, NC,
Kiowa, CO,
Kirkland, WA,98.3%
Kirtland, OH,
Kissimmee, FL,97.3%
Kitsap Lake, WA,100.0%
Kittery, ME,
Kittredge, CO,96.3%
Kitty Hawk, NC,
Klahanie, WA,98.8%
Knightdale, NC,98.5%
Knightstown, IN,
Knollwood, IL,
Knoxville, TN,98.8%
Ko Olina, HI,
Konterra, MD,97.0%
Kouts, IN,
Kulpmont, PA,95.0%
Kulpsville, PA,103.4%
Kuna, ID,101.3%
Kure Beach, NC,97.7%
Kutztown, PA,102.5%
Kyle, TX,
La Ca?ada Flintridge, CA,
La Crescent, MN,
La Crescenta-Montrose, CA,
La Grande, OR,
La Grange Park, IL,
La Grange, IL,
La Habra Heights, CA,
La Habra, CA,102.5%
La Jolla Amago, CA,100.0%
La Joya, TX,98.3%
La Marque, TX,
La Mesa, CA,99.3%
La Mirada, CA,
La Palma, CA,100.0%
La Plata, MD,100.4%
La Porte, IN,116.6%
La Porte, TX,95.9%
La Presa, CA,
La Puente, CA,
La Quinta, CA,
La Riviera, CA,100.3%
La Selva Beach, CA,
La Vergne, TN,98.9%
La Verkin, UT,
La Verne, CA,
La Vista, NE,
Lacey, WA,100.5%
Lacombe, LA,
Lacon, IL,
Laconia, NH,
Ladera Heights, CA,
Ladera Ranch, CA,99.0%
Ladson, SC,100.0%
Lafayette, CA,98.3%
Lafayette, CO,99.8%
Lafayette, IN,
Lafayette, LA,
Lafayette, OR,
Laflin, PA,95.2%
Lago Vista, TX,90.6%
LaGrange, GA,100.0%
LaGrange, OH,
Laguna Beach, CA,100.0%
Laguna Beach, FL,
Laguna Hills, CA,
Laguna Niguel, CA,98.3%
Laguna Vista, TX,
Laguna Woods, CA,
Lahaina, HI,
Lake Arbor, MD,101.6%
Lake Arrowhead, CA,
Lake Barcroft, VA,
Lake Barrington, IL,100.3%
Lake Bluff, IL,104.5%
Lake Butler, FL,100.0%
Lake Charles, LA,
Lake City, GA,
Lake City, MN,99.0%
Lake Clarke Shores, FL,97.9%
Lake Delton, WI,
Lake Elmo, MN,97.9%
Lake Elsinore, CA,96.7%
Lake Forest Park, WA,100.0%
Lake Forest, CA,
Lake Forest, IL,100.7%
Lake Geneva, WI,
Lake Hamilton, AR,
Lake Havasu City, AZ,98.6%
Lake Helen, FL,
Lake in the Hills, IL,101.7%
Lake Jackson, TX,
Lake Katrine, NY,102.2%
Lake Lorraine, FL,
Lake Lure, NC,
Lake Magdalene, FL,96.8%
Lake Mary, FL,95.7%
Lake Mills, WI,
Lake Monticello, VA,
Lake Norman of Catawba, NC,99.7%
Lake Oswego, OR,96.9%
Lake Park, FL,
Lake Park, NC,
Lake Ridge, VA,100.3%
Lake Ripley, WI,
Lake Ronkonkoma, NY,
Lake San Marcos, CA,99.7%
Lake Sherwood, CA,
Lake Shore, MD,100.8%
Lake Shore, MN,
Lake Shore, WA,
Lake Stevens, WA,99.6%
Lake Stickney, WA,100.0%
Lake Tansi, TN,
Lake Tapps, WA,
Lake Villa, IL,
Lake Wales, FL,
Lake Wisconsin, WI,
Lake Worth Beach, FL,91.9%
Lake Worth, FL,95.1%
Lake Wylie, SC,98.2%
Lake Zurich, IL,
Lakeland Highlands, FL,
Lakeland North, WA,96.3%
Lakeland, FL,95.4%
Lakemoor, IL,102.3%
Lakeport, CA,90.0%
Lakeridge, NV,
Lakes of the Four Seasons, IN,
Lakeside Park, KY,
Lakeside, CA,102.1%
Lakeside, FL,94.7%
Lakeside, MT,
Lakeside, OR,
Lakeside, VA,
Lakeville, MA,101.0%
Lakeville, MN,99.8%
Lakeway, TX,96.0%
Lakewood Park, FL,
Lakewood Ranch, FL,99.4%
Lakewood, CA,99.8%
Lakewood, CO,99.6%
Lakewood, IL,99.4%
Lakewood, NJ,
Lakewood, OH,103.0%
Lakewood, TN,
Lakewood, WA,101.7%
Lamar, TX,
Lambertville, NJ,98.2%
Lancaster, CA,
Lancaster, MA,90.3%
Lancaster, NY,93.8%
Lancaster, PA,99.7%
Lancaster, TX,
Land O'Lakes, FL,99.0%
Landen, OH,
Landisville, PA,
Landover, MD,95.9%
Lanesboro, MN,100.0%
Langhorne, PA,
Langley Park, MD,
Langley, WA,
Lanham, MD,100.6%
Lansdale, PA,101.4%
Lansdowne, MD,102.5%
Lansdowne, PA,100.0%
Lansdowne, VA,100.4%
Lansford, PA,102.5%
Lansing, IL,
Lansing, KS,
Lansing, MI,100.0%
Lansing, NY,
Lantana, FL,
Laporte, CO,
Laramie, WY,
Larch Way, WA,98.6%
Largo, FL,98.6%
Largo, MD,98.8%
Larkfield-Wikiup, CA,
Larkspur, CA,101.5%
Larkspur, CO,
Larksville, PA,
Las Campanas, NM,
Las Cruces, NM,
Las Flores, CA,
Las Vegas, NM,
Las Vegas, NV,97.9%
LaSalle, IL,
Latham, NY,92.2%
Lathrop, CA,
Lathrop, MO,
Latrobe, PA,
Lauderdale Lakes, FL,100.0%
Lauderdale-by-the-Sea, FL,98.8%
Lauderhill, FL,96.1%
Laughlin, NV,94.4%
Laurel Hill, VA,99.8%
Laurel Park, NC,99.4%
Laurel Springs, NJ,
Laurel, FL,94.4%
Laurel, MD,103.5%
Laurel, MT,
Laurel, VA,101.6%
Laureldale, PA,100.4%
Laurence Harbor, NJ,
Laurinburg, NC,93.8%
Laurys Station, PA,
Lawndale, CA,
Lawnside, NJ,
Lawnton, PA,93.7%
Lawrence, IN,
Lawrence, KS,91.1%
Lawrence, MA,99.3%
Lawrence, PA,99.3%
Lawrenceville, GA,97.9%
Lawrenceville, NJ,106.7%
Lawson, MO,
Lawton, OK,
Layhill, MD,104.5%
Layton, UT,99.4%
Le Center, MN,
Le Claire, IA,
Le Roy, IL,
Le Sueur, MN,100.0%
Lea Hill, WA,
Lead, SD,
League City, TX,96.8%
Lealman, FL,
Leander, TX,
Leavenworth, KS,
Leavenworth, WA,
Leawood, KS,
Lebanon South, PA,98.0%
Lebanon, NH,
Lebanon, NJ,101.9%
Lebanon, OH,
Lebanon, OR,
Lebanon, PA,99.0%
Lebanon, TN,100.1%
Lee's Summit, MO,
Leeds, AL,
Leesburg, FL,103.0%
Leesburg, VA,99.4%
Leesport, PA,98.0%
Leesylvania, VA,99.3%
Leetsdale, PA,
Lehi, UT,99.2%
Lehigh Acres, FL,
Lehighton, PA,100.0%
Leicester, MA,
Leisure City, FL,100.1%
Leisure Village East, NJ,
Leisure Village West, NJ,104.1%
Leisure Village, NJ,
Leisure World, MD,104.5%
Leisuretowne, NJ,
Leland, NC,99.2%
Lely Resort, FL,
Lemon Grove, CA,100.0%
Lemont, IL,99.1%
Lemoyne, PA,101.4%
Lenexa, KS,
Lennox, CA,101.7%
Lennox, SD,100.0%
Lenoir City, TN,
Lenoir, NC,
Leola, PA,
Leominster, MA,106.7%
Leonardtown, MD,
Leonia, NJ,94.4%
Lester Prairie, MN,
Levelland, TX,
Levittown, PA,
Lewisboro, NY,
Lewiston, ID,
Lewiston, NY,98.0%
Lewistown, PA,84.3%
Lewisville, TX,99.1%
Lexington Park, MD,100.0%
Lexington-Fayette, KY,98.0%
Lexington, IL,
Lexington, KY,98.0%
Lexington, MA,102.0%
Lexington, NC,
Liberty Township, OH,
Liberty Triangle, FL,
Liberty, MO,
Liberty, TX,
Libertytown, MD,
Libertyville, IL,102.7%
Lighthouse Point, FL,97.9%
Ligonier, PA,
Lihue, HI,
Lilburn, GA,97.7%
Lillington, NC,98.7%
Lilydale, MN,100.0%
Lima, PA,
Lincoln Beach, OR,
Lincoln City, OR,
Lincoln Park, NJ,
Lincoln Park, PA,
Lincoln, AL,
Lincoln, CA,
Lincoln, IL,
Lincoln, MA,102.3%
Lincoln, ND,
Lincoln, NE,99.5%
Lincoln, NH,
Lincolnia, VA,99.7%
Lincolnshire, IL,
Lincolnton, NC,
Lincolnwood, IL,96.2%
Lincroft, NJ,
Lindale, GA,
Lindenhurst, IL,100.3%
Lindenwold, NJ,
Lindon, UT,100.0%
Lindstrom, MN,96.5%
Linganore, MD,101.8%
Linglestown, PA,100.3%
Lino Lakes, MN,98.6%
Linthicum, MD,
Linton Hall, VA,101.1%
Linwood, KS,
Linwood, NJ,
Linwood, PA,97.3%
Lionville, PA,94.8%
Lisle, IL,98.5%
Litchfield Beach, SC,97.5%
Litchfield Park, AZ,96.1%
Lithia Springs, GA,97.6%
Lithonia, GA,
Lititz, PA,98.4%
Little Canada, MN,100.4%
Little Elm, TX,96.3%
Little Ferry, NJ,
Little River, SC,95.2%
Little Rock, AR,103.2%
Little Silver, NJ,
Littlestown, PA,
Littleton Common, MA,
Littleton, CO,98.9%
Littleton, MA,100.8%
Live Oak, CA,100.0%
Live Oak, TX,100.0%
Livermore, CA,100.9%
Liverpool, NY,
Livingston, LA,100.0%
Livingston, TN,
Lloyd, NY,
Lochearn, MD,96.4%
Lochmoor Waterway Estates, FL,
Lockhart, FL,
Lockport, IL,100.4%
Lockport, NY,
Locust Grove, GA,
Locust, NC,
Locustdale, PA,
Lodi, CA,
Lodi, NJ,
Lodi, OH,99.4%
Lodi, WI,
Logan, UT,99.4%
Loganville, GA,96.5%
Lolo, MT,
Loma Linda, CA,98.9%
Loma Linda, MO,
Lombard, IL,99.3%
Lomita, CA,
Lompoc, CA,
Londonderry, NH,
Londontowne, MD,99.6%
Lone Tree, CO,98.6%
Long Beach, CA,101.8%
Long Beach, MS,77.0%
Long Beach, NY,
Long Branch, NJ,95.0%
Long Branch, VA,
Long Lake, MN,
Long View, NC,
Longboat Key, FL,
Longmont, CO,99.7%
Longview, TX,
Longwood, FL,97.1%
Lonsdale, MN,
Loomis, CA,
Lorain, OH,92.5%
Lorane, PA,
Lorenz Park, NY,
Loretto, MN,100.0%
Loris, SC,
Lorton, VA,99.3%
Los Alamitos, CA,
Los Alamos, NM,102.5%
Los Altos, CA,105.1%
Los Angeles, CA,100.0%
Los Gatos, CA,106.0%
Lost Creek, TX,
Loudon, TN,
Loudonville, NY,97.4%
Loudoun Valley Estates, VA,99.6%
Loughman, FL,95.6%
Louisburg, KS,
Louisiana,,97.8%
Louisville, CO,98.7%
Louisville, KY,
Louisville, NE,
Louisville, OH,98.1%
Lovejoy, GA,98.6%
Loveland, CO,99.6%
Loveland, OH,
Loves Park, IL,98.7%
Lovettsville, VA,
Lowell, IN,97.5%
Lowell, MA,103.6%
Lowell, NC,
Lower Allen, PA,98.6%
Lower Burrell, PA,
Lower Grand Lagoon, FL,86.6%
Lowes Island, VA,98.3%
Lowesville, NC,
Loxley, AL,97.1%
Lubbock, TX,
Lucas Valley-Marinwood, CA,100.0%
Ludlow, KY,
Ludlow, MA,
Lufkin, TX,
Lula, GA,
Luling, LA,
Luling, TX,
Lumberton, NC,
Lunenburg, MA,
Lutherville, MD,
Lutz, FL,97.9%
Lykens, PA,
Lynchburg, VA,99.9%
Lynden, WA,
Lynn Haven, FL,95.5%
Lynn, MA,97.2%
Lynnfield, MA,
Lynnwood, WA,98.8%
Lynwood, IL,
Lyons, IL,
Lyons, NJ,
Lyons, PA,
Lysander, NY,100.1%
Mableton, GA,97.7%
Macedonia, OH,103.1%
Machesney Park, IL,
Mack, OH,
Mackinaw, IL,97.5%
Macomb, IL,
Macon, GA,93.6%
Macungie, PA,
Madera, CA,
Madison Heights, VA,
Madison, AL,99.9%
Madison, GA,
Madison, MS,
Madison, WI,100.0%
Madrid, IA,95.7%
Maeser, UT,
Maggie Valley, NC,
Magna, UT,100.2%
Magnolia, AR,
Mahanoy City, PA,97.2%
Mahinahina, HI,
Mahomet, IL,99.0%
Mahtomedi, MN,
Maiden, NC,
Maine,,110.0%
Maineville, OH,
Maitland, FL,
Maize, KS,100.0%
Malden, MA,
Malibu, CA,
Malta, NY,103.9%
Malvern, IA,99.2%
Malvern, PA,99.4%
Manahawkin, NJ,98.1%
Manalapan, FL,
Manasquan, NJ,
Manassas Park, VA,100.3%
Manassas, VA,100.5%
Manchester, MA,
Manchester, MD,
Manchester, NH,100.0%
Manchester, PA,105.3%
Manchester, VA,
Mandan, ND,97.9%
Mandeville, LA,100.0%
Mango, FL,98.0%
Mangonia Park, FL,96.4%
Manhasset, NY,
Manhattan Beach, CA,97.3%
Manhattan, IL,99.2%
Manhattan, MT,
Manhattan, NY,93.0%
Manheim, PA,97.8%
Manila, AR,
Manitou Springs, CO,
Manlius, NY,
Manor, PA,
Manor, TX,94.8%
Manorville, NY,
Mansfield Center, MA,107.0%
Mansfield, MA,105.6%
Mansfield, TX,97.5%
Manson, WA,
Manteca, CA,
Manteno, IL,100.0%
Manteo, NC,
Mantua, VA,100.0%
Manvel, TX,
Maple Glen, PA,96.3%
Maple Grove, MN,99.0%
Maple Lake, MN,
Maple Park, IL,
Maple Valley, WA,98.4%
Mapleton, UT,100.0%
Maplewood, MN,95.5%
Maplewood, WA,
Marana, AZ,
Marathon, FL,100.0%
Marblehead, MA,
Marco Island, FL,
Marcola, OR,
Marcus Hook, PA,100.0%
Marengo, IL,98.2%
Margate City, NJ,95.7%
Margate, FL,99.0%
Maricopa, AZ,99.3%
Mariemont, OH,
Marietta-Alderwood, WA,
Marietta, GA,99.6%
Marietta, PA,108.3%
Marin City, CA,
Marina del Rey, CA,
Marina, CA,
Marion Oaks, FL,
Marion, IL,97.8%
Marion, NC,
Marlboro Meadows, MD,96.6%
Marlboro Village, MD,101.4%
Marlborough, MA,98.4%
Marlene Village, OR,
Marlow Heights, MD,
Marlton, MD,100.0%
Marlton, NJ,105.5%
Marquette, MI,
Mars, PA,
Marseilles, IL,
Marshall, VA,
Marshallton, PA,
Marshfield Hills, MA,
Marshfield, MA,
Mart, TX,
Martha Lake, WA,99.5%
Martinez, CA,101.2%
Martinez, GA,98.8%
Martinsburg, WV,98.8%
Marumsco, VA,101.1%
Mary Esther, FL,
Maryland,,101.1%
Maryland City, MD,100.6%
Marysville, PA,
Marysville, WA,99.6%
Maryville, MO,
Maryville, TN,
Mashpee, MA,99.5%
Mason, OH,97.2%
Masontown, PA,
Massac, KY,97.6%
Massachusetts,,100.7%
Massanetta Springs, VA,100.8%
Massanutten, VA,
Massapequa Park, NY,
Matamoras, PA,
Matawan, NJ,
Matteson, IL,98.2%
Matthews, NC,98.2%
Mattoon, IL,
Maugansville, MD,100.0%
Mauldin, SC,100.1%
Maumelle, AR,
Maybrook, NY,96.4%
Mayer, MN,
Mayfield, OH,
Mayflower Village, CA,
Maynard, MA,
Mays Chapel, MD,100.6%
Mays Landing, NJ,103.0%
Maysville, KY,96.5%
Maytown, PA,
Mayville, WI,
Maywood, CA,100.0%
Maywood, IL,
Mazomanie, WI,
McAdoo, PA,
McAllen, TX,96.9%
McCalla, AL,
McCordsville, IN,96.4%
McDonough, GA,99.2%
McFarland, WI,100.0%
McGaheysville, VA,
McGovern, PA,98.3%
McGregor, FL,
McGregor, TX,
McHenry, IL,98.2%
McKee City, NJ,99.4%
McKees Rocks, PA,
McKeesport, PA,
McKinley, PA,100.5%
McKinney, TX,97.3%
McLean, VA,99.9%
McMinnville, OR,102.8%
McMurray, PA,98.6%
McNair, VA,99.9%
McSherrystown, PA,
Mead, CO,
Meadow Woods, FL,97.7%
Meadowbrook, AL,100.0%
Meadowbrook, VA,100.6%
Meadowlands, PA,
Mebane, NC,99.5%
Mechanicsburg, PA,99.0%
Mechanicstown, NY,98.4%
Mechanicsville, MD,
Mechanicsville, PA,
Mechanicsville, VA,100.1%
Mechanicville, NY,100.0%
Medfield, MA,100.0%
Medford, MA,95.6%
Medford, MN,
Medford, NY,101.3%
Medford, OR,99.4%
Media, PA,109.3%
Medina, MN,93.2%
Medina, OH,
Medley, FL,
Medulla, FL,
Medway, MA,
Melbourne Beach, FL,96.6%
Melbourne, FL,94.6%
Melissa, TX,91.9%
Melrose Park, IL,102.6%
Melrose, MA,96.3%
Melville, NY,
Melwood, MD,
Memphis, FL,
Memphis, TN,98.0%
Menands, NY,
Menasha, WI,
Mendham, NJ,
Mendocino, CA,95.9%
Mendon, MA,
Mendon, NY,
Mendota Heights, MN,96.2%
Menifee, CA,
Menlo Park, CA,96.0%
Mentor, OH,
Mequon, WI,
Merced, CA,
Mercer Island, WA,100.0%
Mercersburg, PA,
Mercerville, NJ,110.0%
Merchantville, NJ,
Meredith, NH,
Meridian Village, CO,99.1%
Meridian, ID,99.0%
Meridianville, AL,100.0%
Merion Station, PA,
Merriam, KS,
Merrifield, VA,99.4%
Merrillville, IN,99.8%
Merrimac, MA,97.7%
Merritt Island, FL,94.3%
Merritt Park, NY,
Mertztown, PA,
Mesa, AZ,98.4%
Mesquite, NV,98.9%
Mesquite, TX,99.3%
Metairie, LA,92.2%
Metamora, IL,100.0%
Methuen Town, MA,103.0%
Methuen, MA,103.0%
Metropolis, IL,
Mettawa, IL,
Metzger, OR,93.6%
Mexico Beach, FL,99.4%
Meyers Lake, OH,
Miami Beach, FL,
Miami Gardens, FL,97.8%
Miami Heights, OH,
Miami Lakes, FL,96.7%
Miami Shores, FL,
Miami Township, OH,
Miami, FL,96.3%
Miamisburg, OH,100.0%
Michigan,,62.5%
Michigan City, IN,
Middle Island, NY,
Middle River, MD,99.2%
Middleborough Center, MA,
Middleborough, MA,101.3%
Middleburg Heights, OH,101.5%
Middleburg, VA,92.1%
Middleport, PA,81.5%
Middlesex, NJ,
Middleton, MA,98.6%
Middleton, WI,106.8%
Middletown, CT,
Middletown, DE,100.4%
Middletown, MD,103.7%
Middletown, NY,
Middletown, OH,
Middletown, PA,98.7%
Middletown, VA,
Midland, NC,
Midland, PA,
Midland, WA,
Midlothian, IL,
Midlothian, VA,100.1%
Midvale, UT,100.2%
Midway City, CA,
Midway, FL,99.4%
Midway, GA,100.0%
Midway, PA,
Midway, UT,97.9%
